id,title,source_pages,pdf,md,html,status
VOLUME-001,Vision and Engineering Principles,281-291,01_Blueprint/PDF/Volume_001_Vision_and_Engineering_Principles.pdf,01_Blueprint/MD/Volume_001_Vision_and_Engineering_Principles.md,01_Blueprint/HTML/Volume_001_Vision_and_Engineering_Principles.html,Archived from master source
VOLUME-002,Core Platform Architecture,292-298,01_Blueprint/PDF/Volume_002_Core_Platform_Architecture.pdf,01_Blueprint/MD/Volume_002_Core_Platform_Architecture.md,01_Blueprint/HTML/Volume_002_Core_Platform_Architecture.html,Archived from master source
VOLUME-003,Core Object System,299-308,01_Blueprint/PDF/Volume_003_Core_Object_System.pdf,01_Blueprint/MD/Volume_003_Core_Object_System.md,01_Blueprint/HTML/Volume_003_Core_Object_System.html,Archived from master source
VOLUME-004,AQELYN Platform Kernel,309-317,01_Blueprint/PDF/Volume_004_AQELYN_Platform_Kernel.pdf,01_Blueprint/MD/Volume_004_AQELYN_Platform_Kernel.md,01_Blueprint/HTML/Volume_004_AQELYN_Platform_Kernel.html,Archived from master source
VOLUME-005,User Experience and Accessibility,318-324,01_Blueprint/PDF/Volume_005_User_Experience_and_Accessibility.pdf,01_Blueprint/MD/Volume_005_User_Experience_and_Accessibility.md,01_Blueprint/HTML/Volume_005_User_Experience_and_Accessibility.html,Archived from master source
VOLUME-006,Human-Centered Security Experience,325-331,01_Blueprint/PDF/Volume_006_Human_Centered_Security_Experience.pdf,01_Blueprint/MD/Volume_006_Human_Centered_Security_Experience.md,01_Blueprint/HTML/Volume_006_Human_Centered_Security_Experience.html,Archived from master source
VOLUME-007,Mission Control,332-339,01_Blueprint/PDF/Volume_007_Mission_Control.pdf,01_Blueprint/MD/Volume_007_Mission_Control.md,01_Blueprint/HTML/Volume_007_Mission_Control.html,Archived from master source
VOLUME-008,Discovery and Asset Intelligence - Placeholder Note,340-343,01_Blueprint/PDF/Volume_008_Discovery_and_Asset_Intelligence_Placeholder_Note.pdf,01_Blueprint/MD/Volume_008_Discovery_and_Asset_Intelligence_Placeholder_Note.md,01_Blueprint/HTML/Volume_008_Discovery_and_Asset_Intelligence_Placeholder_Note.html,Archived from master source
VOLUME-009,Endpoint Security Engine,344-348,01_Blueprint/PDF/Volume_009_Endpoint_Security_Engine.pdf,01_Blueprint/MD/Volume_009_Endpoint_Security_Engine.md,01_Blueprint/HTML/Volume_009_Endpoint_Security_Engine.html,Archived from master source
VOLUME-010,Human Intelligence Layer,349-356,01_Blueprint/PDF/Volume_010_Human_Intelligence_Layer.pdf,01_Blueprint/MD/Volume_010_Human_Intelligence_Layer.md,01_Blueprint/HTML/Volume_010_Human_Intelligence_Layer.html,Archived from master source
VOLUME-011,Discovery and Asset Intelligence Engine,357-364,01_Blueprint/PDF/Volume_011_Discovery_and_Asset_Intelligence_Engine.pdf,01_Blueprint/MD/Volume_011_Discovery_and_Asset_Intelligence_Engine.md,01_Blueprint/HTML/Volume_011_Discovery_and_Asset_Intelligence_Engine.html,Archived from master source
VOLUME-012,Enterprise and High-Assurance Architecture,365-370,01_Blueprint/PDF/Volume_012_Enterprise_and_High_Assurance_Architecture.pdf,01_Blueprint/MD/Volume_012_Enterprise_and_High_Assurance_Architecture.md,01_Blueprint/HTML/Volume_012_Enterprise_and_High_Assurance_Architecture.html,Archived from master source
VOLUME-013,Trust Architecture and Security Intelligence,371-378,01_Blueprint/PDF/Volume_013_Trust_Architecture_and_Security_Intelligence.pdf,01_Blueprint/MD/Volume_013_Trust_Architecture_and_Security_Intelligence.md,01_Blueprint/HTML/Volume_013_Trust_Architecture_and_Security_Intelligence.html,Archived from master source
VOLUME-014,Cyber Security Intelligence Layer,379-387,01_Blueprint/PDF/Volume_014_Cyber_Security_Intelligence_Layer.pdf,01_Blueprint/MD/Volume_014_Cyber_Security_Intelligence_Layer.md,01_Blueprint/HTML/Volume_014_Cyber_Security_Intelligence_Layer.html,Archived from master source
VOLUME-015,Cyber Operations Framework,388-399,01_Blueprint/PDF/Volume_015_Cyber_Operations_Framework.pdf,01_Blueprint/MD/Volume_015_Cyber_Operations_Framework.md,01_Blueprint/HTML/Volume_015_Cyber_Operations_Framework.html,Archived from master source
VOLUME-016,Cyber Object Operating System,400-411,01_Blueprint/PDF/Volume_016_Cyber_Object_Operating_System.pdf,01_Blueprint/MD/Volume_016_Cyber_Object_Operating_System.md,01_Blueprint/HTML/Volume_016_Cyber_Object_Operating_System.html,Archived from master source
VOLUME-017,AQELYN Detection Framework,412-420,01_Blueprint/PDF/Volume_017_AQELYN_Detection_Framework.pdf,01_Blueprint/MD/Volume_017_AQELYN_Detection_Framework.md,01_Blueprint/HTML/Volume_017_AQELYN_Detection_Framework.html,Archived from master source
VOLUME-018,AQELYN Core Services Architecture,421-433,01_Blueprint/PDF/Volume_018_AQELYN_Core_Services_Architecture.pdf,01_Blueprint/MD/Volume_018_AQELYN_Core_Services_Architecture.md,01_Blueprint/HTML/Volume_018_AQELYN_Core_Services_Architecture.html,Archived from master source
